AR,AGGO,ntp.aggo-conicet.gob.ar,https://webtai.bipm.org/ftp/pub/tai/annual-reports/bipm-annual-report/TIMESERVICES/timeservices.pdf
AR,IGNA,ntp.ign.gob.ar,https://www.ign.gob.ar/NuestrasActividades/Geodesia/ServicioInternacionalHora/NTP
AR,INTI,ntp.inti.gob.ar,https://www.inti.gob.ar/hora-inti
AT,BEV,bevtime1.metrologie.at,https://www.bev.gv.at/en/Topics/Metrology-Service/Metrological-Subject-Fields/Time-Services/Internet-Time-Synchronization.html
AT,BEV,bevtime2.metrologie.at,https://www.bev.gv.at/en/Topics/Metrology-Service/Metrological-Subject-Fields/Time-Services/Internet-Time-Synchronization.html
AT,BEV,time.metrologie.at,https://www.bev.gv.at/en/Topics/Metrology-Service/Metrological-Subject-Fields/Time-Services/Internet-Time-Synchronization.html
BA,IMBH,ntp1.imbih.gov.ba,https://www.met.gov.ba/en/laboratories/6/laboratory-for-time-and-frequency/23/time-and-frequency-distribution
BA,IMBH,ntp2.imbih.gov.ba,https://www.met.gov.ba/en/laboratories/6/laboratory-for-time-and-frequency/23/time-and-frequency-distribution
BE,ORB,ntp.oma.be,https://betime.be/en/services/ntp-intro.php
BE,SMD,ntp1.economie.fgov.be,https://economie.fgov.be/nl/themas/kwaliteit-veiligheid/metrologie/wetenschappelijke-metrologie/coordinated-universal-time
BE,SMD,ntp2.economie.fgov.be,https://economie.fgov.be/nl/themas/kwaliteit-veiligheid/metrologie/wetenschappelijke-metrologie/coordinated-universal-time
BE,SMD,ntp3.economie.fgov.be,https://economie.fgov.be/nl/themas/kwaliteit-veiligheid/metrologie/wetenschappelijke-metrologie/coordinated-universal-time
BR,LRTE,lrtest1.ntp.ifsc.usp.br,https://webtai.bipm.org/ftp/pub/tai/annual-reports/bipm-annual-report/TIMESERVICES/timeservices.pdf
BR,LRTE,lrtest2.ntp.ifsc.usp.br,https://webtai.bipm.org/ftp/pub/tai/annual-reports/bipm-annual-report/TIMESERVICES/timeservices.pdf
BY,BelGIM,time.belgim.by,https://belgim.by/pages/view?id=181
CA,NRC,time.chu.nrc.ca,https://nrc.canada.ca/en/certifications-evaluations-standards/canadas-official-time/network-time-protocol-ntp
CA,NRC,time.nrc.ca,https://nrc.canada.ca/en/certifications-evaluations-standards/canadas-official-time/network-time-protocol-ntp
CH,METAS,ntp11.metas.ch,https://www.metas.ch/metas/en/home/fabe/zeit-und-frequenz/time-dissemination.html
CH,METAS,ntp12.metas.ch,https://www.metas.ch/metas/en/home/fabe/zeit-und-frequenz/time-dissemination.html
CH,METAS,ntp13.metas.ch,https://www.metas.ch/metas/en/home/fabe/zeit-und-frequenz/time-dissemination.html
CN,NIM,ntp1.nim.ac.cn,https://www.nim.ac.cn/nim_time
CN,NIM,ntp2.nim.ac.cn,https://www.nim.ac.cn/nim_time
CO,INM,ntp1.inm.gov.co,http://www.inm.gov.co/index.php/servicios-inm/hora-legal
CO,INM,ntp2.inm.gov.co,http://www.inm.gov.co/index.php/servicios-inm/hora-legal
CZ,TP,ntp.ufe.cz,https://www.ufe.cz/cs/nastaveni-presneho-casu-v-pocitaci
DE,PTB,ptbtime1.ptb.de,https://www.ptb.de/cms/ptb/fachabteilungen/abtq/gruppe-q4/ref-q42/zeitsynchronisation-von-rechnern-mit-hilfe-des-network-time-protocol-ntp.html
DE,PTB,ptbtime2.ptb.de,https://www.ptb.de/cms/ptb/fachabteilungen/abtq/gruppe-q4/ref-q42/zeitsynchronisation-von-rechnern-mit-hilfe-des-network-time-protocol-ntp.html
DE,PTB,ptbtime3.ptb.de,https://www.ptb.de/cms/ptb/fachabteilungen/abtq/gruppe-q4/ref-q42/zeitsynchronisation-von-rechnern-mit-hilfe-des-network-time-protocol-ntp.html
DE,PTB,ptbtime4.ptb.de,https://www.ptb.de/cms/ptb/fachabteilungen/abtq/gruppe-q4/ref-q42/zeitsynchronisation-von-rechnern-mit-hilfe-des-network-time-protocol-ntp.html
DK,DFM,time.dfm.dk,https://dfm.dk/ntp/
ES,ROA,hora.roa.es,https://webtai.bipm.org/ftp/pub/tai/annual-reports/bipm-annual-report/TIMESERVICES/timeservices.pdf
ES,ROA,minuto.roa.es,https://webtai.bipm.org/ftp/pub/tai/annual-reports/bipm-annual-report/TIMESERVICES/timeservices.pdf
FR,LNE-SYRTE,ntp.obspm.fr,https://syrte.obspm.fr/spip/services/ref-temps/article/diffusion-de-l-heure-par-internet-ntp-network-time-protocol
GR,EIM,hercules.eim.gr,http://time.eim.gr/instructions/
HK,HKO,stdtime.gov.hk,https://www.hko.gov.hk/en/nts/ntime.htm
HK,HKO,time.hko.hk,https://www.hko.gov.hk/en/nts/ntime.htm
ID,SNSU-BSN,ntp.bsn.go.id,https://jurnalinstrumentasi.bsn.go.id/index.php/ji/article/view/242
IN,NPLI,time.nplindia.org,https://www.nplindia.org/clockcode/html/
IT,INRIM,ntp1.inrim.it,http://rime.inrim.it/labtf/ntp/ 
IT,INRIM,ntp2.inrim.it,http://rime.inrim.it/labtf/ntp/ 
JP,NAO,s2csntp.miz.nao.ac.jp,https://www.miz.nao.ac.jp/vlbi/ntp.html
JP,NICT,ntp.nict.jp,https://jjy.nict.go.jp/tsp/PubNtp/index.html
KR,KRISS,time.kriss.re.kr,https://webtai.bipm.org/ftp/pub/tai/annual-reports/bipm-annual-report/TIMESERVICES/timeservices.pdf
KZ,KZ,ntp1.ksm.kz,https://webtai.bipm.org/ftp/pub/tai/annual-reports/bipm-annual-report/TIMESERVICES/timeservices.pdf
KZ,KZ,ntp2.ksm.kz,https://webtai.bipm.org/ftp/pub/tai/annual-reports/bipm-annual-report/TIMESERVICES/timeservices.pdf
KZ,KZ,ntp3.ksm.kz,https://webtai.bipm.org/ftp/pub/tai/annual-reports/bipm-annual-report/TIMESERVICES/timeservices.pdf
LT,LT,laikas2.pfi.lt,https://webtai.bipm.org/ftp/pub/tai/annual-reports/bipm-annual-report/TIMESERVICES/timeservices.pdf
